TARGET,ID,age,prod_A,type_A,type_B,prod_B,turnover_A,turnover_B,lor_M
Y,77,66,0,0,0,0,333.5611143,264.7210102,3
Y,159,45,1,3,3,1,394.735699,284.9049779,39
Y,220,42,1,3,6,1,342.1809895,1175.589721,27
Y,303,31,0,0,0,0,453.757916,242.3417539,3
Y,306,62,0,0,0,0,384.5774694,287.00837,3
Y,340,24,1,3,3,1,460.442339,247.4675162,15
Y,353,57,0,0,0,0,494.4636506,215.9761266,3
Y,371,32,0,0,0,0,472.6515704,246.2087366,3
Y,530,28,0,0,0,0,451.7176899,252.7194347,3
Y,549,30,0,0,0,0,349.2873271,263.2932771,3
Y,600,44,1,3,3,1,466.8347302,208.0555244,15
Y,631,36,1,3,3,1,373.6524495,243.1333392,27
Y,653,38,0,0,0,0,389.7835213,258.6248042,3
Y,669,36,0,0,0,0,392.3463205,226.2887086,3
Y,726,34,0,0,0,0,316.3104784,270.7927816,3
Y,731,51,1,3,3,1,381.6036232,250.9613893,15
Y,792,27,1,3,3,1,452.1698342,242.6764859,15
Y,818,56,0,0,0,0,440.6616988,281.2368979,3
Y,940,30,0,0,0,0,383.7094025,218.6528919,3
Y,990,48,0,0,0,0,386.8634568,201.4714787,3
Y,1000,54,0,0,0,0,421.4689982,226.8823921,3
Y,1131,61,0,0,3,1,300.5570409,273.8676597,63
Y,1134,32,0,0,0,0,466.5700511,299.4108318,3
Y,1136,37,0,0,0,0,441.1278752,210.4919186,3
Y,1187,49,1,3,3,1,452.5061844,232.742635,15
Y,1193,38,0,0,0,0,397.1023713,215.11293,3
Y,1271,23,1,3,3,1,304.7897278,293.8870767,15
Y,1411,54,1,3,3,1,355.6220259,297.9496636,15
Y,1447,43,0,0,0,0,303.0967164,244.7122197,3
Y,1449,70,0,0,0,0,319.8338799,265.3952446,3
Y,1478,38,0,0,0,0,491.1568131,294.0467147,3
Y,1510,37,1,3,3,1,462.7292178,286.3935729,15
Y,1547,34,1,3,3,1,326.2758777,205.4557301,39
Y,1576,38,1,3,3,1,324.9569917,200.5943007,27
Y,1596,34,0,0,0,0,332.1253774,241.2361839,3
